studytime,score
1.0,37
1.2,39
1.4,41
1.6,43
1.8,44
2.0,46
2.2,48
2.4,50
2.6,52
2.8,53
3.0,55
3.2,57
3.4,58
3.6,60
3.8,62
4.0,64
4.2,65
4.4,67
4.6,69
4.8,70
5.0,72
5.2,74
5.4,76
5.6,77
5.8,79
6.0,81
6.2,82
6.4,84
6.6,86
6.8,87
7.0,89
7.2,91
7.4,92
7.6,94
7.8,96
8.0,98
8.2,99
8.4,101
8.6,103
8.8,104
9.0,106
9.2,108
9.4,109
9.6,111
9.8,113
10.0,115
10.2,116
10.4,118
10.6,120
10.8,121
11.0,123
11.2,125
11.4,126
11.6,128
11.8,130
12.0,132
12.2,133
12.4,135
12.6,137
12.8,138
13.0,140
13.2,142
13.4,143
13.6,145
13.8,147
14.0,149
14.2,150
14.4,152
14.6,154
14.8,155
15.0,157
15.2,159
15.4,160
15.6,162
15.8,164
16.0,166
16.2,167
16.4,169
16.6,171
16.8,172
17.0,174
17.2,176
17.4,177
17.6,179
17.8,181
18.0,183
18.2,184
18.4,186
18.6,188
18.8,189
19.0,191
19.2,193
19.4,194
19.6,196
19.8,198
20.0,200
20.2,201
20.4,203
20.6,205
20.8,206
